Raman peaks (cm−1),Assignment,Vibrational mode,Strength,PMID
446,Glutathione,,,36239879
494,L-arginine ,S─S stretching,strong,21747512
509,Trp,,,36239879
523,"Lysozymes, proteins, G, T",,,22502575
535,Cholesterol ester,,weak,20223058
545,Trp,,,36239879
548,"Cholesterol, S-S stretching mode",,,36227878
562,Proline,,,36832007
563,Proline,,,36832007
570,"Tryptophane/cytosine, guanine ",,broad,20223058
589,Amide-VI ,," weak, shoulder",21747512
603,C-C twist aromatic ring of phenylalanine,,,36227878
604,C-C twist aromatic ring of phenylalanine,,,36227878
605,C-C twist aromatic ring of phenylalanine,,,36227878
606,C-C twist aromatic ring of phenylalanine,,,36227878
607,C-C twist aromatic ring of phenylalanine,,,36227878
608,C-C twist aromatic ring of phenylalanine,,,36227878
609,C-C twist aromatic ring of phenylalanine,,,36227878
610,C-C twist aromatic ring of phenylalanine,,,36227878
611,C-C twist aromatic ring of phenylalanine,,,36227878
612,,C─C─C ring in-plane, very strong,29981226
612,C-C twist aromatic ring of phenylalanine,,,36227878
613,C-C twist aromatic ring of phenylalanine,,,36227878
614,C-C twist aromatic ring of phenylalanine,,,36227878
615,C-C twist aromatic ring of phenylalanine,,,36227878
616,C-C twist aromatic ring of phenylalanine,,,36227878
617,C-C twist aromatic ring of phenylalanine,,,36227878
618,C-C twist aromatic ring of phenylalanine,,,36227878
619,C-C twist aromatic ring of phenylalanine,,,36227878
620,C-C twist aromatic ring of phenylalanine,,,36227878
621,C–C twist in phenylalanine (protein) ,,weak,20223058
622,"Protein, Phe, A",,,22502575
622,"Phenylalanine, Tyrosine","C-C  bending, deformed, swing (Twisted) phenylalanine",,24710050
622,Phe,,,36239879
636,"L-Tyrosine, lactose",,,36832007
638,Tyrosine ,C─S  stretching,very strong,21747512
638,"L-tyrosine, lactose",C-S twist vibration,,30666105
642,Tyr,,,36239879
644,C–C twist in tyrosine,,very weak,20223058
644,G ring str.,,,30899639
645,Nucleic acid,dC,,24710050
653,C–S bond,,,36832007
661,Glutathione,,,36239879
669,Nucleic acid,dT,,24710050
676,CYTc,"stretch  bending  (CCN), Vinyl & Porphyrin ",,23154776
676,"CCN Stretch, Bending, Vinyl & Porphyrin modes",,,23448574
679,Glutathione,,,36832007
684,A,,,30899639
696,"Met, C",,,22502575
700,"Cholesterol (C-S trans stretching mode), methionine",,,36227878
714,Polysaccharides,,,36239879
721,Nucleic acid,dA,,24710050
721,"DNA/RNA (adenine), protein","Ring breathing mode, C─S",,34743445
725,Adenine ,C─H  in-plane deformation,weak,21747512
725,"Adenine, hypoxanthine, coenzyme A",C-H bending vibration,,30666105
730,Phosphatidylserine,,,36832007
731,Phosphatidylserine,,,36832007
732,Phosphatidylserine,,,36832007
733,Phosphatidylserine,,,36832007
734,A ring br.,,,30899639
734,Phosphatidylserine,,,36832007
735,"Trp, coenzyme A, A, C, T, G",,,22502575
735,Phosphatidylserine,,,36832007
737,"DNA/RNA backbone, protein (tyrosine)","Ring breathing mode, C─S",,34743445
742,Phospholipid,,,36239879
744,"DNA/RNA (bases, thymine), protein (tryptophan)",Ring breathing mode,,34743445
749,"nucleic acids, DNA, tryptophan, and nucleoproteins",,,32531903
750,"CH2 rock, symmetric breathing of tryptophan",,,23448574
754,Tryp,"CH2 Rock, Sym. breathing ",,23154776
757,C-C stretching mode of tryptophan,,,36227878
758,Tryptophan,symmetric stretch (Indole ring breathing),,24710050
760,Trp,,,36239879
761,Sym. ring breathing in tryptophane ,,very weak,20223058
770,,C─H out of plane bend, strong,29981226
780,Uracil ring breathing (nucleotide) ,,very weak,20223058
786,"DNA, RNA",PO2- group symmetric stretch,,24710050
788,"C ring br., T ring br.",,,30899639
789,"C, U, T",,,22502575
810,L-serine,C-C-O stretching vibration,,30666105
816,CCH deformation aliphatic (collagen) ,,medium,20223058
818,Collagen ,C─C  stretching,weak,21747512
820,Structural protein modes of tumors ,,,32508914
823,Tyrosine,Ring breathing , medium,21747512
825,"DNA/RNA backbone, protein (tyrosine)","O─P─O stretch, ring breathing",,34743445
826,Tyrosine,,,32508914
827,"DNA/RNA backbone, protein (tyrosine)","O─P─O stretch, ring breathing",,34743445
828,Tyr,,,36239879
829,Nucleic acid,PO2- asymmetric stretch,,24710050
829,tyrosine,,,32531903
830,tyrosine,,,32531903
831,tyrosine,,,32531903
832,tyrosine,,,32531903
833,tyrosine,,,32531903
834,tyrosine,,,32531903
835,tyrosine,,,32531903
836,tyrosine,,,32531903
837,tyrosine,,,32531903
838,Amine deformation vibrations ,,,32508914
838,tyrosine,,,32531903
839,tyrosine,,,32531903
840,tyrosine,,,32531903
841,tyrosine,,,32531903
841,"Protein (proline, tyrosine)","C─C stretch, ring breathing",,34743445
842,tyrosine,,,32531903
843,tyrosine,,,32531903
844,tyrosine,,,32531903
845,tyrosine,,,32531903
846,tyrosine,,,32531903
847,tyrosine,,,32531903
848,tyrosine,,,32531903
849,tyrosine,,,32531903
852,"Proline, tyrosine",,,32508914
853,"Ring breathing mode of tyrosine, C–C stretch of proline ring",,,36227878
853,Tyr,,,36239879
854,"Ring breathing in tyrosine, CCH deformation ",,strong,20223058
855,Protein (collagen),C-C Proline stretch,,24710050
858,stretching mode of the phosphate group,,,32531903
861,"Tyrosine, collagen",,,32508914
872,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
873,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
874,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
875,Tryptophan ,,,32508914
875,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
876,"CC stretch (protein, collagen) ",,medium( shoulder),20223058
876,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
877,Protein (collagen),C-C Hydroxyproline stretch,,24710050
877,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
878,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
878,C-C stretching mode of tryptophan,,,36227878
879,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
880,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
881,Tryptophan,ring  in-plane deformation, medium,21747512
881,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
882,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
883,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
884,"Pro, Val, Gly, Trp, Glu, Hyd",,,22502575
884,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
885,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
886,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
887,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
888,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
888,,,,36832007
889,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
890,Amino galactose,C-O-H scissoring vibration,,30666105
890,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
890,Glutathione,,,36239879
891,Saccharide,,,32508914
891,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
892,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
893,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
894,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
895,stretching vibrations for the amino acids proline and valine and polysaccharides,,,32531903
